"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Restful Booker API","Update Booking","0","0","2","0","0"
"","Restful Booker API","Read Booking","0","0","2","0","0"
"","GraphQL Ecommerce API","Negative - Malformed Syntax","0","0","1","0","0"
"","DemoQA Web Tables","Search Functionality","0","0","1","0","0"
"","Restful Booker API","Delete Booking","0","0","2","0","0"
"","DemoQA Web Tables","Edit an Existing Record","0","0","1","0","0"
"","DemoQA Practice Form","Successful Complete Student Registration","0","0","1","0","0"
"","DemoQA Web Tables","Add a New Record","0","0","1","0","0"
"","GraphQL Ecommerce API","Negative - Non-existent ID","0","0","1","0","0"
"","DemoQA Web Tables","Delete a Record","0","0","1","0","0"
"","GraphQL Ecommerce API","Query Products","0","0","1","0","0"
"","Restful Booker API","Create Booking","0","0","1","0","0"
"","DemoQA Practice Form","Mandatory Fields Validation","0","0","1","0","0"
"","DemoQA Practice Form","Invalid Data Validation","0","0","1","0","0"
"","GraphQL Ecommerce API","Query Nested Fields and Fragments","0","0","1","0","0"
"","GraphQL Ecommerce API","Negative - Non-existent Field","0","0","1","0","0"
"","GraphQL Ecommerce API","Query Product by ID","0","0","1","0","0"
"","DemoQA Web Tables","Sorting Validation","0","0","0","1","0"
