"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 18 15:32:07 UTC 2026","Fri Sep 18 15:32:08 UTC 2026","917","","tests.api.RestfulBookerTests","","tests.api.RestfulBookerTests","updateBookingTest","updateBookingTest(BookerClient)","Verify updating a booking (PUT) modifies the resource correctly"
"passed","Fri Sep 18 15:32:07 UTC 2026","Fri Sep 18 15:32:08 UTC 2026","482","","tests.api.RestfulBookerTests","","tests.api.RestfulBookerTests","getBookingByIdTest","getBookingByIdTest(BookerClient)","Verify retrieving an existing booking by ID validates the contract"
"passed","Fri Sep 18 15:32:08 UTC 2026","Fri Sep 18 15:32:08 UTC 2026","371","","tests.api.RestfulBookerTests","","tests.api.RestfulBookerTests","testUpdateBookingWithoutAuth","testUpdateBookingWithoutAuth(BookerClient)","Verify PUT request without an auth token returns 403 Forbidden"
"passed","Fri Sep 18 15:32:04 UTC 2026","Fri Sep 18 15:32:07 UTC 2026","2620","","tests.api.HygraphEcommerceTests","","tests.api.HygraphEcommerceTests","testMalformedQuerySyntax","testMalformedQuerySyntax(GraphQLClient)","Query with broken syntax returns errors array and no data"
"passed","Fri Sep 18 15:32:19 UTC 2026","Fri Sep 18 15:32:22 UTC 2026","2332","","tests.ui.WebTablesTests","","tests.ui.WebTablesTests","testSearchFunctionality","testSearchFunctionality(WebTablesPage)","Verify search filters the table rows correctly using dynamically generated record"
"passed","Fri Sep 18 15:32:07 UTC 2026","Fri Sep 18 15:32:08 UTC 2026","478","","tests.api.RestfulBookerTests","","tests.api.RestfulBookerTests","testDeleteBookingWithoutAuth","testDeleteBookingWithoutAuth(BookerClient)","Verify DELETE request without an auth token returns 403 Forbidden"
"passed","Fri Sep 18 15:32:19 UTC 2026","Fri Sep 18 15:32:22 UTC 2026","2882","","tests.ui.WebTablesTests","","tests.ui.WebTablesTests","testEditRecord","testEditRecord(WebTablesPage)","Verify editing a dynamically created record updates its values in the table"
"passed","Fri Sep 18 15:32:08 UTC 2026","Fri Sep 18 15:32:08 UTC 2026","678","","tests.api.RestfulBookerTests","","tests.api.RestfulBookerTests","deleteBookingTest","deleteBookingTest(BookerClient)","Verify deleting a booking returns 201 and subsequent GET returns 404"
"passed","Fri Sep 18 15:32:08 UTC 2026","Fri Sep 18 15:32:08 UTC 2026","198","","tests.api.RestfulBookerTests","","tests.api.RestfulBookerTests","testGetNonExistentBooking","testGetNonExistentBooking(BookerClient)","Verify GET request for a non-existent booking returns 404"
"passed","Fri Sep 18 15:32:08 UTC 2026","Fri Sep 18 15:32:19 UTC 2026","11037","","tests.ui.PracticeFormTests","","tests.ui.PracticeFormTests","testSuccessfulRegistration","testSuccessfulRegistration(PracticeFormPage)","Verify that a student can successfully register with all fields filled"
"passed","Fri Sep 18 15:32:19 UTC 2026","Fri Sep 18 15:32:22 UTC 2026","2391","","tests.ui.WebTablesTests","","tests.ui.WebTablesTests","testAddRecord","testAddRecord(WebTablesPage)","Verify adding a new record to the web table"
"passed","Fri Sep 18 15:32:04 UTC 2026","Fri Sep 18 15:32:07 UTC 2026","2599","","tests.api.HygraphEcommerceTests","","tests.api.HygraphEcommerceTests","testQueryWithNonExistentId","testQueryWithNonExistentId(GraphQLClient)","Query a product with a non-existent ID"
"passed","Fri Sep 18 15:32:19 UTC 2026","Fri Sep 18 15:32:22 UTC 2026","2404","","tests.ui.WebTablesTests","","tests.ui.WebTablesTests","testDeleteRecord","testDeleteRecord(WebTablesPage)","Verify deleting a dynamically created record removes it from the table"
"passed","Fri Sep 18 15:32:04 UTC 2026","Fri Sep 18 15:32:07 UTC 2026","2599","","tests.api.HygraphEcommerceTests","","tests.api.HygraphEcommerceTests","testQueryProductsWithPaginationAndLimit","testQueryProductsWithPaginationAndLimit(GraphQLClient)","Query products with first/limit argument and assert pagination size"
"passed","Fri Sep 18 15:32:07 UTC 2026","Fri Sep 18 15:32:08 UTC 2026","293","","tests.api.RestfulBookerTests","","tests.api.RestfulBookerTests","createBookingTest","createBookingTest(BookerClient)","Verify creating a new booking returns 200 and correct payload schema"
"passed","Fri Sep 18 15:32:08 UTC 2026","Fri Sep 18 15:32:19 UTC 2026","10385","","tests.ui.PracticeFormTests","","tests.ui.PracticeFormTests","testEmptySubmissionValidation","testEmptySubmissionValidation(PracticeFormPage)","Verify that submitting an empty form prevents submission"
"passed","Fri Sep 18 15:32:08 UTC 2026","Fri Sep 18 15:32:19 UTC 2026","10472","","tests.ui.PracticeFormTests","","tests.ui.PracticeFormTests","testInvalidDataValidation","testInvalidDataValidation(PracticeFormPage)","Verify that invalid email and mobile formats are rejected"
"passed","Fri Sep 18 15:32:05 UTC 2026","Fri Sep 18 15:32:07 UTC 2026","1501","","tests.api.HygraphEcommerceTests","","tests.api.HygraphEcommerceTests","testQueryWithFragmentsAndNestedFields","testQueryWithFragmentsAndNestedFields(GraphQLClient)","Query products using a fragment and associations like categories"
"passed","Fri Sep 18 15:32:07 UTC 2026","Fri Sep 18 15:32:07 UTC 2026","443","","tests.api.HygraphEcommerceTests","","tests.api.HygraphEcommerceTests","testQueryNonExistentField","testQueryNonExistentField(GraphQLClient)","Query requesting a field not in schema returns validation error"
"passed","Fri Sep 18 15:32:04 UTC 2026","Fri Sep 18 15:32:07 UTC 2026","2708","","tests.api.HygraphEcommerceTests","","tests.api.HygraphEcommerceTests","testQueryProductByIdUsingVariables","testQueryProductByIdUsingVariables(GraphQLClient)","Query a single product by ID using GraphQL variables"
